id,name,rarity,alter_ego,card_type,alignment,faction,energy,shield,agility,ranged_attack,energy_attack,elasticity,genius,blades,magic,regeneration,super_strength,telekinesis,telepathy,flying,text,hability_cost,hability_name,hability_text,hability_type
2001,Abominável,c,Emil Blonsky,p,vilão,Inimigos do Hulk,8,2,0,0,0,0,0,0,0,1,1,0,0,0,,1,SOCO DEMOLIDOR,SOCO DEMOLIDOR causa 4 pontos de dano no alvo.,
2002,Agente S.H.I.E.L.D.,c,n/a,p,heroi,S.H.I.E.L.D.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Pode haver qualquer número de personagens chamados AGENTE S.H.I.E.L.D em cena.,2,CONSERTAR EQUIPAMENTO,Descarregue os cards que AGENTE S.H.I.E.L.D. estiver carregando: Embaralhe AGENTE S.H.I.E.L.D. em seu deck. Coloque um card chamado VEÍCULO DE COMBATE S.H.I.E.L.D. de seus recursos em sua mão.,
2003,Arcade,r,n/a,p,vilão,Inimigos dos X-Men,3,1,0,0,0,0,1,0,0,0,0,0,0,0,,1,BRINCADEIRA MORTAL,"Escolha um card de cenário em seus recursos e coloque-o em cena. No final do turno, se aquele cenário ainda estiver em cena, coloque-o na base de seu deck. (Você pode executar esta ação mesmo que um cenário já tenha sido colocado em cena neste turno).",
2004,Blob,c,"Frederick J. ""Fred"" Dukes",p,vilão,Irmandade de Mutantes,7,1,0,0,0,0,0,0,0,0,1,0,0,0,A primeira ação que cause dano em BLOB em um turno causará 0 pontos de dano em BLOB.,1,ESTAPEAR,ESTAPEAR causa 2 pontos de dano no alvo.,
2005,Bruce Banner,i,Robert Bruce Banner,p,n/a,N/A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"BRUCE BANNER só pode ser colocado em cena se HULK não estiver em cena.
 
HULK não pode ser colocado em cena.
 
Se BRUCE BANNER for nocauteado por uma ação que cause dano, você pode procurar por um card chamado HULK em seu deck, mão ou recurso, revelá-lo e colocá-lo em cena com até quatro  cards de seus recursos anexados a ele. A seguir, embaralhe seu deck, caso tenha procura ali.",,,,
2006,Bumerangue,c,"Frederick ""Fred"" Myers",p,vilão,Mestres do Terror,3,1,0,1,0,0,0,0,0,0,0,0,0,1,,1,ARSENAL DE BUMERANGUES,"ARSENAL DE BUMERANGUES  causa 1 ponto de dano penetrante no alvo, ou ARSENAL DE BUMERANGUES causa 2 pontos de dano no alvo.",
2007,Cable,sr,Nathan Christopher Charles Summers,p,heroi,X-Men,4,1,0,1,0,0,0,0,0,0,0,1,1,0,CABLE pode usar ações de (ranged_attack) como ações de antecipar. O custo de incapacitação de cada ação usada dessa forma será (2). (Todos os demais custos de ações usadas dessa forma devem ser pagos normalmente).,1,TIRO PRECISO,TIRO PRECISO causa 1 ponto de dano no alvo.,a
2008,Capanga do Rei,c,n/a,p,vilão,Inimigos do Demolidor,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Pode haver qualquer número de personagens chamados CAPANGA DO REI em cena.,2,PANCADARIA,PANCADARIA causa 2 pontos de dano no alvo.,
2009,Carnificina,ur,Cletus Kasady,p,vilão,Inimigos do Homem-Aranha,5,1,1,0,0,1,0,0,0,1,0,0,0,0,,1,NAVALHAS DE SANGUE,NAVALHAS DE SANGUE  causa 1 ponto de dano penetrante no alvo.,a
2010,Cavaleiro da Lua,c,Marc Spector,p,heroi,Defensores,4,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,BUMERANGUE DE MARFIM,BUMERANGUE DE MARFIM causa 1 ponto de dano no alvo. O CAVLEIRO DA LUA  pode usar esta ação mais de uma vez por turno,
